event-id,visible,timestamp,long,lat,location-error-text,sensor-type,individual-taxon-canonical-name,swallow_id,individual-local-identifier,study-name
2549644546,TRUE,43:25.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644547,TRUE,37:44.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644548,TRUE,36:13.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644549,TRUE,34:49.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644550,TRUE,44:08.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644551,TRUE,35:03.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644552,TRUE,47:50.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644553,TRUE,36:32.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644554,TRUE,48:25.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644555,TRUE,32:44.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644556,TRUE,44:32.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644557,TRUE,31:32.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644558,TRUE,29:28.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644559,TRUE,51:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644560,TRUE,33:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644561,TRUE,51:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644562,TRUE,28:45.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644563,TRUE,48:25.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644564,TRUE,24:28.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644565,TRUE,51:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644566,TRUE,27:11.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644567,TRUE,51:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
